Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Robert Lewandowski,9.0,pl POL,FW,36-144,90,1,1,1,1,2,1,1,0,1,3,0,0,1,0,0,,,0c126206
Raphinha,11.0,br BRA,AM,28-029,78,2,1,0,0,4,3,1,0,0,0,0,6,0,0,0,,,0c126206
Ferrán Torres,7.0,es ESP,"FW,MF",24-318,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0c126206
Gavi,6.0,es ESP,AM,20-160,58,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,0c126206
Iñaki Peña,13.0,es ESP,GK,25-316,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0c126206
Lamine Yamal,19.0,es ESP,AM,17-183,58,1,0,0,0,3,2,0,0,1,3,1,1,0,1,0,,,0c126206
Dani Olmo,20.0,es ESP,"FW,MF",26-250,32,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,,,0c126206
Pedri,8.0,es ESP,DM,22-048,90,0,0,0,0,1,0,0,0,0,3,0,1,1,1,0,,,0c126206
Marc Casado,17.0,es ESP,DM,21-120,90,0,1,0,0,1,0,0,0,8,1,0,0,2,0,0,,,0c126206
Alejandro Balde,3.0,es ESP,LB,21-086,90,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,,0c126206
Iñigo Martínez,5.0,es ESP,CB,33-240,27,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,0c126206
Ronald Araújo,4.0,uy URU,DF,25-311,63,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,,,0c126206
Pau Cubarsí,2.0,es ESP,CB,17-356,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0c126206
Jules Koundé,23.0,fr FRA,RB,26-061,90,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,,,0c126206
Wojciech Szczęsny,25.0,pl POL,GK,34-269,55,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0c126206
15 Players,,,,,955,5,4,1,1,14,8,4,1,13,14,1,11,7,3,0,,,0c126206
