Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Eric García,es ESP,"DF,MF",24-338,13.6,937,1042,89.9,15093,5553,467,491,95.1,414,450,92.0,35,58,60.3,0,1.2,1.0,-1.2,17,124,14,0,95,Matches
Pau Cubarsí,es ESP,DF,18-325,11.6,992,1048,94.7,16833,6046,408,423,96.5,523,546,95.8,45,61,73.8,0,0.4,0.4,-0.4,4,87,2,0,62,Matches
Pedri,es ESP,MF,23-018,11.2,951,1046,90.9,16258,4390,419,443,94.6,441,463,95.2,68,86,79.1,4,3.0,3.0,1.0,32,128,29,2,122,Matches
Jules Koundé,fr FRA,DF,27-031,11.9,783,891,87.9,11522,3664,457,489,93.5,274,311,88.1,30,50,60.0,1,0.7,1.3,0.3,8,59,6,5,51,Matches
Lamine Yamal,es ESP,FW,18-153,11.0,453,581,78.0,6035,1754,285,314,90.8,124,168,73.8,15,44,34.1,7,4.0,3.6,3.0,22,31,27,4,50,Matches
Ferrán Torres,es ESP,FW,25-287,10.3,166,226,73.5,2114,350,105,132,79.5,43,58,74.1,5,9,55.6,1,1.3,1.0,-0.3,16,8,5,0,15,Matches
Alejandro Balde,es ESP,DF,22-056,9.5,495,550,90.0,6707,1287,299,313,95.5,162,178,91.0,13,23,56.5,2,1.2,1.4,0.8,11,18,10,2,36,Matches
Marcus Rashford,eng ENG,FW,28-043,10.7,346,449,77.1,5191,1274,195,217,89.9,114,150,76.0,22,52,42.3,6,2.9,2.9,3.1,24,9,17,2,30,Matches
Joan García,es ESP,GK,24-223,10.0,317,350,90.6,7059,4538,69,70,98.6,194,196,99.0,54,84,64.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Frenkie de Jong,nl NED,MF,28-215,9.4,721,771,93.5,10962,2938,398,415,95.9,262,277,94.6,36,44,81.8,2,1.4,1.7,0.6,15,92,11,2,81,Matches
Gerard Martín,es ESP,DF,23-346,8.1,588,669,87.9,9846,2793,261,277,94.2,289,318,90.9,32,56,57.1,0,0.5,0.5,-0.5,8,60,7,0,59,Matches
Dani Olmo,es ESP,MF,27-220,9.3,429,527,81.4,6063,1462,247,283,87.3,145,166,87.3,17,31,54.8,2,2.3,3.2,-0.3,23,31,22,0,53,Matches
Ronald Araújo,uy URU,DF,26-281,7.2,444,480,92.5,7651,2735,184,189,97.4,230,243,94.7,24,37,64.9,0,0.0,0.1,0.0,1,34,0,0,29,Matches
Robert Lewandowski,pl POL,FW,37-114,7.1,92,127,72.4,970,168,73,87,83.9,11,15,73.3,1,3,33.3,1,0.9,0.4,0.1,7,3,2,0,7,Matches
Raphinha,br BRA,"FW,MF",28-364,5.8,218,281,77.6,3614,788,108,125,86.4,85,102,83.3,18,37,48.6,3,2.1,3.0,0.9,18,14,10,1,18,Matches
Fermin López,es ESP,"MF,FW",22-216,6.3,240,291,82.5,3507,823,141,154,91.6,74,93,79.6,15,21,71.4,2,2.7,1.4,-0.7,10,20,8,0,28,Matches
Wojciech Szczęsny,pl POL,GK,35-239,6.0,179,217,82.5,3857,2094,41,41,100.0,117,117,100.0,21,55,38.2,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Marc Casado,es ESP,MF,22-090,5.9,450,487,92.4,6976,1706,240,250,96.0,181,193,93.8,19,27,70.4,1,0.2,0.4,0.8,8,36,4,1,27,Matches
Andreas Christensen,dk DEN,DF,29-247,4.2,306,320,95.6,5127,1819,129,133,97.0,165,170,97.1,7,8,87.5,0,0.0,0.1,0.0,1,28,0,0,16,Matches
Roony Bardghji,se SWE,FW,20-028,2.7,108,140,77.1,1618,354,59,70,84.3,36,46,78.3,8,15,53.3,1,1.0,1.0,0.0,6,4,9,4,13,Matches
Marc Bernal,es ESP,MF,18-201,1.1,74,82,90.2,1106,180,36,42,85.7,31,32,96.9,3,4,75.0,1,0.6,0.2,0.4,1,3,0,0,3,Matches
Pedro Fernandez,es ESP,"FW,MF",17-335,1.0,40,47,85.1,476,84,26,28,92.9,10,10,100.0,1,1,100.0,0,0.1,0.1,-0.1,2,2,0,0,5,Matches
Toni Fernández,es ESP,FW,17-151,0.5,7,9,77.8,75,9,6,7,85.7,1,1,100.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
Gavi,es ESP,"MF,DF",21-130,0.7,63,68,92.6,1196,338,16,19,84.2,44,46,95.7,3,3,100.0,1,0.2,0.1,0.8,3,15,2,0,11,Matches
Jofre Torrents,es ESP,DF,18-319,0.6,37,44,84.1,583,133,21,21,100.0,15,19,78.9,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Squad Total,,,25.3,16.0,9436,10743,87.8,150439,47280,4690,5033,93.2,3985,4368,91.2,493,812,60.7,35,26.4,26.7,8.6,238,810,185,23,812,
Opponent Total,,,28.0,16.0,4038,5427,74.4,74504,30576,1783,2042,87.3,1618,1932,83.7,519,1059,49.0,15,16.8,11.0,-1.8,121,302,77,20,396,
