Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,23,15.0,273,163,130,109,34,128,265,48.3,137,177,53,124,125,398,370,6
Athletic Club,25,16.0,242,153,82,115,45,131,267,49.1,136,172,36,136,135,377,392,14
Atlético Madrid,23,16.0,253,154,133,85,35,130,274,47.4,144,146,34,112,127,380,324,10
Barcelona,25,16.0,269,153,105,115,49,123,220,55.9,97,157,35,122,104,373,288,6
Betis,26,15.0,264,151,122,98,44,124,270,45.9,146,140,37,103,133,397,458,8
Celta Vigo,25,15.0,247,143,114,94,39,127,226,56.2,99,131,43,88,121,368,393,16
Elche,27,15.0,248,147,136,86,26,126,214,58.9,88,134,51,83,125,373,342,12
Espanyol,22,15.0,234,147,111,84,39,117,248,47.2,131,163,62,101,125,359,358,5
Getafe,24,15.0,277,173,131,114,32,147,278,52.9,131,173,35,138,118,395,431,7
Girona,29,15.0,202,124,114,68,20,87,191,45.5,104,140,56,84,123,325,411,17
Levante,25,15.0,251,141,118,99,34,145,258,56.2,113,183,70,113,121,372,467,10
Mallorca,25,15.0,211,113,115,77,19,108,206,52.4,98,178,60,118,103,314,451,7
Osasuna,21,15.0,232,136,128,84,20,124,224,55.4,100,153,47,106,108,340,424,6
Oviedo,27,15.0,258,164,153,94,11,133,247,53.8,114,150,57,93,110,368,461,16
Rayo Vallecano,24,15.0,246,138,131,88,27,118,257,45.9,139,189,60,129,122,368,379,13
Real Madrid,23,16.0,281,163,114,110,57,138,238,58.0,100,166,51,115,119,400,298,9
Real Sociedad,27,15.0,264,153,132,105,27,129,257,50.2,128,145,43,102,109,373,350,7
Sevilla,31,15.0,290,188,138,121,31,147,265,55.5,118,158,45,113,109,399,403,13
Valencia,21,15.0,231,127,121,84,26,121,201,60.2,80,142,46,96,115,346,420,7
Villarreal,26,15.0,268,164,130,104,34,161,271,59.4,110,175,63,112,134,402,365,19
