Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alavés,1,15.0,15,1,0,0,0,14.9,0.3,-0.1,-0.01,113,275,41.1,296,41,60.1,44.3,114,85.1,60.2,198,8,4.0,9,0.6,12.2
Athletic Club,1,16.0,20,0,0,2,1,21.0,0.35,2.0,0.13,66,240,27.5,445,67,39.8,35.1,89,70.8,53.3,184,13,7.1,44,2.75,20.1
Atlético Madrid,2,16.0,15,1,0,1,0,13.8,0.3,-1.2,-0.08,87,194,44.8,405,65,27.9,31.5,137,59.1,43.1,208,16,7.7,15,0.94,12.8
Barcelona,2,16.0,20,3,0,4,0,23.6,0.36,3.6,0.23,26,79,32.9,491,102,13.6,25.9,73,16.4,26.7,156,8,5.1,76,4.75,23.3
Betis,2,15.0,19,1,0,4,1,16.3,0.26,-1.7,-0.11,46,152,30.3,379,52,29.8,32.7,109,35.8,36.2,200,7,3.5,19,1.27,16.5
Celta Vigo,1,15.0,19,2,0,5,1,18.0,0.23,0.0,0.0,42,141,29.8,304,76,30.3,31.4,118,41.5,39.6,202,9,4.5,11,0.73,12.2
Elche,2,15.0,17,2,0,1,0,19.5,0.3,2.5,0.17,87,262,33.2,811,58,29.2,28.1,107,23.4,26.2,204,15,7.4,40,2.67,16.0
Espanyol,1,15.0,16,1,1,1,1,15.3,0.25,0.3,0.02,73,230,31.7,344,61,52.9,39.9,99,48.5,41.9,205,15,7.3,15,1.0,13.9
Getafe,1,15.0,17,1,0,3,2,16.4,0.24,1.4,0.09,139,374,37.2,338,15,83.1,51.6,101,92.1,60.8,165,4,2.4,18,1.2,17.1
Girona,2,15.0,29,4,1,4,0,29.3,0.31,0.3,0.02,55,209,26.3,430,69,35.8,30.4,146,37.7,31.7,246,9,3.7,17,1.14,14.0
Levante,2,15.0,28,1,0,6,2,27.0,0.33,1.0,0.06,85,226,37.6,372,76,39.5,35.2,145,54.5,45.2,260,16,6.2,15,1.0,13.0
Mallorca,2,15.0,22,2,1,2,0,23.0,0.3,1.0,0.07,103,265,38.9,384,54,51.8,42.5,119,55.5,43.7,251,12,4.8,17,1.13,15.1
Osasuna,1,15.0,18,3,0,1,0,21.7,0.28,3.7,0.24,89,204,43.6,366,73,34.2,33.0,129,61.2,43.5,213,12,5.6,39,2.6,20.2
Oviedo,1,15.0,22,2,0,5,0,29.6,0.28,7.6,0.5,79,209,37.8,442,51,38.7,33.0,120,31.7,31.0,245,8,3.3,29,1.93,15.4
Rayo Vallecano,1,15.0,16,3,0,2,0,17.3,0.28,1.3,0.08,94,242,38.8,442,56,46.6,38.3,123,29.3,27.8,196,16,8.2,24,1.6,15.7
Real Madrid,1,16.0,15,2,1,1,0,13.9,0.25,-1.1,-0.07,45,145,31.0,442,75,25.6,30.2,107,29.9,30.5,166,8,4.8,21,1.31,16.3
Real Sociedad,1,15.0,22,2,0,3,1,17.5,0.31,-3.5,-0.24,90,197,45.7,432,57,33.6,31.8,118,44.1,40.1,168,9,5.4,23,1.53,16.4
Sevilla,2,15.0,24,4,1,1,0,24.7,0.31,0.7,0.05,68,209,32.5,445,70,35.5,34.5,84,60.7,47.4,198,4,2.0,11,0.73,11.6
Valencia,1,15.0,23,2,0,3,1,20.1,0.27,-1.9,-0.13,60,184,32.6,363,61,36.9,33.1,116,43.1,37.9,194,22,11.3,30,2.0,15.5
Villarreal,2,15.0,13,2,1,0,0,13.6,0.23,0.6,0.04,27,122,22.1,283,67,32.5,37.8,103,29.1,29.7,204,16,7.8,22,1.47,12.3
