Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,1,15,15,1350,15.0,15,1.0,48,33,70.8,5,3,7,3,20.0,1,1,0,0,0.0
Athletic Club,1,16,16,1440,16.0,20,1.25,63,44,68.3,7,2,7,5,31.3,0,0,0,0,
Atlético Madrid,2,16,16,1440,16.0,15,0.94,45,30,68.9,9,4,3,6,37.5,2,1,0,1,0.0
Barcelona,2,16,16,1440,16.0,20,1.25,56,35,69.6,13,1,2,4,25.0,4,3,1,0,25.0
Betis,2,15,15,1350,15.0,19,1.27,57,38,68.4,6,6,3,4,26.7,2,1,1,0,50.0
Celta Vigo,1,15,15,1350,15.0,19,1.27,70,51,75.7,4,7,4,2,13.3,5,2,1,2,33.3
Elche,2,15,15,1350,15.0,17,1.13,61,44,75.4,4,7,4,4,26.7,2,2,0,0,0.0
Espanyol,1,15,15,1350,15.0,16,1.07,63,48,76.2,8,3,4,6,40.0,1,1,0,0,0.0
Getafe,1,15,15,1350,15.0,17,1.13,64,49,75.0,6,2,7,4,26.7,1,1,0,0,0.0
Girona,2,15,15,1348,15.0,29,1.94,84,55,70.2,2,6,7,2,13.3,4,4,0,0,0.0
Levante,2,15,15,1350,15.0,28,1.87,81,55,66.7,2,3,10,2,13.3,1,1,0,0,0.0
Mallorca,2,15,15,1350,15.0,22,1.47,69,46,71.0,3,5,7,3,20.0,3,2,1,0,33.3
Osasuna,1,15,15,1350,15.0,18,1.2,73,55,79.5,4,3,8,4,26.7,3,3,0,0,0.0
Oviedo,1,15,15,1350,15.0,22,1.47,99,75,79.8,2,4,9,4,26.7,4,2,2,0,50.0
Rayo Vallecano,1,15,15,1350,15.0,16,1.07,55,39,76.4,4,5,6,5,33.3,3,3,0,0,0.0
Real Madrid,1,16,16,1440,16.0,15,0.94,50,35,74.0,11,3,2,7,43.8,2,2,0,0,0.0
Real Sociedad,1,15,15,1350,15.0,22,1.47,52,31,61.5,4,4,7,1,6.7,2,2,0,0,0.0
Sevilla,2,15,15,1350,15.0,24,1.6,70,46,71.4,5,2,8,3,20.0,5,4,0,1,0.0
Valencia,1,15,15,1350,15.0,23,1.53,67,44,68.7,3,6,6,4,26.7,3,2,1,0,33.3
Villarreal,2,15,15,1350,15.0,13,0.87,49,35,77.6,11,2,2,7,46.7,3,2,1,0,33.3
