Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Alavés,23,15.0,5420,6944,78.1,93260,35367,2638,2961,89.1,2106,2516,83.7,504,1025,49.2,5,9.7,9.5,-4.7,120,437,79,33,468
Athletic Club,25,16.0,5695,7308,77.9,103019,37640,2465,2843,86.7,2567,3028,84.8,569,1116,51.0,7,14.4,14.2,-7.4,147,517,130,40,664
Atlético Madrid,23,16.0,7412,8928,83.0,131166,45030,3311,3638,91.0,3195,3623,88.2,726,1215,59.8,16,21.0,20.0,-5.0,161,586,179,44,712
Barcelona,25,16.0,9436,10743,87.8,150439,47280,4690,5033,93.2,3985,4368,91.2,493,812,60.7,35,26.4,26.7,8.6,238,810,185,23,812
Betis,26,15.0,6400,7748,82.6,105747,37691,3097,3390,91.4,2468,2842,86.8,549,988,55.6,19,17.9,14.7,1.1,176,456,128,29,616
Celta Vigo,25,15.0,6932,8220,84.3,121846,39505,2948,3211,91.8,3280,3633,90.3,556,988,56.3,13,13.8,14.2,-0.8,132,557,117,17,640
Elche,27,15.0,7304,8566,85.3,118578,41877,3711,3978,93.3,2848,3147,90.5,522,1002,52.1,13,12.6,12.7,0.4,134,541,111,38,570
Espanyol,22,15.0,4627,5997,77.2,82814,33153,2070,2346,88.2,2000,2379,84.1,457,997,45.8,14,16.7,17.1,-2.7,151,379,108,44,499
Getafe,24,15.0,3434,5109,67.2,66405,27904,1530,1864,82.1,1340,1770,75.7,495,1178,42.0,12,7.1,8.0,4.9,80,363,52,24,366
Girona,29,15.0,5612,6847,82.0,96550,33271,2633,2896,90.9,2364,2648,89.3,481,942,51.1,8,11.5,10.5,-3.5,106,375,90,15,519
Levante,25,15.0,4441,5827,76.2,81688,32765,1949,2240,87.0,1841,2185,84.3,541,1083,50.0,8,12.1,12.3,-4.1,105,351,92,37,390
Mallorca,25,15.0,4864,6276,77.5,92092,35369,2048,2346,87.3,2185,2564,85.2,570,1120,50.9,11,10.2,9.7,0.8,119,426,87,40,469
Osasuna,21,15.0,5053,6545,77.2,88237,35061,2387,2704,88.3,1998,2420,82.6,520,1065,48.8,11,10.9,12.2,0.1,111,361,89,36,449
Oviedo,27,15.0,5300,6538,81.1,99896,34050,2140,2391,89.5,2444,2773,88.1,628,1089,57.7,3,7.7,10.2,-4.7,90,327,91,36,436
Rayo Vallecano,24,15.0,5973,7367,81.1,109303,39346,2465,2724,90.5,2749,3116,88.2,638,1170,54.5,10,14.4,13.3,-4.4,143,475,95,32,553
Real Madrid,23,16.0,8759,9999,87.6,147940,45168,4273,4569,93.5,3541,3864,91.6,727,1129,64.4,25,27.3,25.0,-2.3,247,877,170,21,892
Real Sociedad,27,15.0,5841,7331,79.7,102011,37560,2633,2961,88.9,2540,2954,86.0,522,998,52.3,12,15.1,14.8,-3.1,157,501,108,37,591
Sevilla,31,15.0,5552,7021,79.1,103714,36731,2261,2576,87.8,2504,2875,87.1,661,1183,55.9,14,10.7,10.3,3.3,130,434,101,30,489
Valencia,21,15.0,5340,6732,79.3,95965,33580,2279,2597,87.8,2437,2824,86.3,523,993,52.7,12,11.2,11.2,0.8,97,418,76,19,527
Villarreal,26,15.0,5899,7134,82.7,102538,35163,2728,2993,91.1,2566,2923,87.8,506,914,55.4,21,18.7,18.8,2.3,154,461,124,29,591
