Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Barcelona,16,13,1,2,47,20,27,40,2.5,36.4,21.3,15.1,0.94,W W W W W,35552,Ferrán Torres - 11,Joan García,
2,Real Madrid,16,11,3,2,32,15,17,36,2.25,37.8,17.8,20.0,1.25,D D D W L,73886,Kylian Mbappé - 16,Thibaut Courtois,
3,Villarreal,15,11,2,2,31,13,18,35,2.33,24.9,16.2,8.7,0.58,W W W W W,17898,Alberto Moleiro - 6,Luiz Lúcio Reis Júnior,
4,Atlético Madrid,16,9,4,3,28,15,13,31,1.94,27.2,18.4,8.8,0.55,W W W L L,62047,Julián Álvarez - 7,Jan Oblak,
5,Espanyol,15,8,3,4,19,16,3,27,1.8,23.4,17.3,6.0,0.4,L L W W W,28743,Pere Milla - 5,Marko Dmitrović,
6,Betis,15,6,6,3,25,19,6,24,1.6,22.2,16.9,5.3,0.36,W D D W L,58849,Cucho - 6,Álvaro Vallés,
7,Athletic Club,16,7,2,7,15,20,-5,23,1.44,21.1,16.2,4.8,0.3,W L W L W,48332,"Roberto Navarro, Nico Williams - 3",Unai Simón,
8,Getafe,15,6,2,7,13,17,-4,20,1.33,10.5,14.1,-3.7,-0.25,W L L W L,8458,Borja Mayoral - 4,David Soria,
9,Elche,15,4,7,4,18,17,1,19,1.27,17.1,20.5,-3.3,-0.22,L D D L W,27393,Rafa Mir - 6,Iñaki Peña,
10,Celta Vigo,15,4,7,4,18,19,-1,19,1.27,18.1,20.4,-2.3,-0.15,W L W L W,20220,Borja Iglesias - 5,Ionuț Radu,
11,Alavés,15,5,3,7,13,15,-2,18,1.2,15.9,15.0,0.9,0.06,W L L L W,16504,"Lucas Boyé, Carlos Vicente - 3",Antonio Sivera,
12,Rayo Vallecano,15,4,5,6,13,16,-3,17,1.13,20.4,19.3,1.1,0.07,L D D D L,13003,Jorge de Frutos - 4,Augusto Batalla,
13,Sevilla,15,5,2,8,20,24,-4,17,1.13,13.6,24.5,-10.9,-0.72,L W L L D,38281,"Ruben Vargas, Isaac Romero - 3",Odysseas Vlachodimos,
14,Real Sociedad,15,4,4,7,19,22,-3,16,1.07,20.3,19.8,0.6,0.04,W D W L L,31571,Mikel Oyarzabal - 5,Álex Remiro,
15,Osasuna,15,4,3,8,14,18,-4,15,1.0,16.4,19.4,-3.1,-0.2,D L L D W,20101,Ante Budimir - 4,Sergio Herrera,
16,Valencia,15,3,6,6,14,23,-9,15,1.0,15.7,21.0,-5.2,-0.35,L D W D D,44900,Hugo Duro - 5,Julen Agirrezabala,
17,Mallorca,15,3,5,7,15,22,-7,14,0.93,14.5,25.4,-10.9,-0.73,L W L D D,17546,Vedat Muriqi - 8,Leo Román,
18,Girona,15,2,6,7,13,29,-16,12,0.8,16.1,27.9,-11.8,-0.79,L W D D L,11536,"Cristhian Stuani, Azzedine Ounahi... - 3",Paulo Gazzaniga,
19,Oviedo,15,2,4,9,7,22,-15,10,0.67,12.6,26.1,-13.6,-0.9,D L D L D,25701,Salomón Rondón - 2,Aarón Escandell,
20,Levante,15,2,3,10,16,28,-12,9,0.6,19.2,25.9,-6.8,-0.45,L L L L L,21398,Karl Etta Eyong - 5,Mathew Ryan,
