Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,23,15.0,36,1,1,245,196,37,284,125,163,2,1,0,662,257,246,51.1
Athletic Club,25,16.0,30,4,0,213,190,19,351,135,153,3,0,1,703,226,238,48.7
Atlético Madrid,23,16.0,30,2,1,178,160,35,342,127,154,2,2,0,661,226,223,50.3
Barcelona,25,16.0,27,2,2,153,188,35,208,104,153,3,4,0,638,181,122,59.7
Betis,26,15.0,33,1,0,155,199,25,251,133,151,1,2,1,668,194,188,50.8
Celta Vigo,25,15.0,29,1,1,182,165,28,199,121,143,2,5,1,572,122,143,46.0
Elche,27,15.0,27,2,1,195,223,26,232,125,147,0,2,0,635,144,183,44.0
Espanyol,22,15.0,30,2,1,205,168,19,345,125,147,4,1,1,571,206,262,44.0
Getafe,24,15.0,38,3,1,227,212,35,297,118,173,0,1,2,583,235,306,43.4
Girona,29,15.0,34,5,2,161,197,28,210,123,124,3,4,0,535,177,177,50.0
Levante,25,15.0,32,1,0,184,172,30,198,121,141,0,1,2,567,203,206,49.6
Mallorca,25,15.0,31,3,2,173,185,19,266,103,113,2,3,0,594,243,209,53.8
Osasuna,21,15.0,34,3,1,195,162,11,274,108,136,2,3,0,629,265,215,55.2
Oviedo,27,15.0,33,6,2,174,154,33,241,110,164,1,4,0,536,206,181,53.2
Rayo Vallecano,24,15.0,39,3,1,210,144,26,323,122,138,2,3,0,657,133,182,42.2
Real Madrid,23,16.0,30,4,1,153,208,29,260,119,163,5,2,0,682,178,130,57.8
Real Sociedad,27,15.0,35,0,0,232,169,33,297,109,153,1,2,1,587,225,216,51.0
Sevilla,31,15.0,50,1,0,230,206,44,234,109,188,2,5,0,655,233,190,55.1
Valencia,21,15.0,28,1,0,182,165,21,267,115,127,1,3,1,557,173,196,46.9
Villarreal,26,15.0,37,1,1,189,163,34,213,134,164,1,3,0,619,145,159,47.7
